"Participant_ID","Accuracy","AccuracyAtLeast75","AccuracyAtLeast90","Age","Sex","Education","Trial","Cue","Flanker","RT","Visual_Acuity"
1,1,1,1,77,"Male",6,77,"SPATIAL","CONGRUENT",481,0.9
1,1,1,1,77,"Male",6,18,"SPATIAL","INCONGRUENT",640,0.9
1,1,1,1,77,"Male",6,12,"CENTRAL","INCONGRUENT",568,0.9
1,1,1,1,77,"Male",6,32,"SPATIAL","INCONGRUENT",620,0.9
1,1,1,1,77,"Male",6,60,"SPATIAL","INCONGRUENT",421,0.9
1,1,1,1,77,"Male",6,4,"SPATIAL","CONGRUENT",528,0.9
1,1,1,1,77,"Male",6,48,"NOCUE","INCONGRUENT",472,0.9
1,1,1,1,77,"Male",6,96,"CENTRAL","CONGRUENT",566,0.9
1,1,1,1,77,"Male",6,94,"CENTRAL","CONGRUENT",569,0.9
1,1,1,1,77,"Male",6,17,"SPATIAL","INCONGRUENT",726,0.9
1,1,1,1,77,"Male",6,70,"DOUBLE","INCONGRUENT",588,0.9
1,1,1,1,77,"Male",6,9,"CENTRAL","INCONGRUENT",558,0.9
1,1,1,1,77,"Male",6,75,"NOCUE","INCONGRUENT",521,0.9
1,1,1,1,77,"Male",6,13,"CENTRAL","INCONGRUENT",654,0.9
1,1,1,1,77,"Male",6,49,"SPATIAL","CONGRUENT",602,0.9
1,1,1,1,77,"Male",6,23,"NOCUE","CONGRUENT",466,0.9
1,1,1,1,77,"Male",6,57,"DOUBLE","CONGRUENT",559,0.9
1,1,1,1,77,"Male",6,73,"DOUBLE","CONGRUENT",571,0.9
1,1,1,1,77,"Male",6,62,"CENTRAL","INCONGRUENT",484,0.9
1,1,1,1,77,"Male",6,34,"DOUBLE","INCONGRUENT",563,0.9
1,1,1,1,77,"Male",6,35,"CENTRAL","INCONGRUENT",576,0.9
1,0,1,1,77,"Male",6,10,"SPATIAL","INCONGRUENT",NA,0.9
1,1,1,1,77,"Male",6,82,"SPATIAL","CONGRUENT",539,0.9
1,1,1,1,77,"Male",6,74,"DOUBLE","CONGRUENT",501,0.9
1,1,1,1,77,"Male",6,52,"NOCUE","INCONGRUENT",565,0.9
1,1,1,1,77,"Male",6,27,"SPATIAL","CONGRUENT",497,0.9
1,1,1,1,77,"Male",6,64,"DOUBLE","CONGRUENT",459,0.9
1,1,1,1,77,"Male",6,83,"NOCUE","CONGRUENT",492,0.9
1,1,1,1,77,"Male",6,50,"SPATIAL","CONGRUENT",473,0.9
1,1,1,1,77,"Male",6,26,"NOCUE","INCONGRUENT",611,0.9
1,1,1,1,77,"Male",6,91,"DOUBLE","CONGRUENT",769,0.9
1,1,1,1,77,"Male",6,61,"CENTRAL","INCONGRUENT",566,0.9
1,1,1,1,77,"Male",6,36,"NOCUE","CONGRUENT",559,0.9
1,1,1,1,77,"Male",6,88,"CENTRAL","INCONGRUENT",518,0.9
1,1,1,1,77,"Male",6,41,"CENTRAL","CONGRUENT",502,0.9
1,1,1,1,77,"Male",6,79,"CENTRAL","CONGRUENT",471,0.9
1,1,1,1,77,"Male",6,6,"NOCUE","CONGRUENT",501,0.9
1,1,1,1,77,"Male",6,55,"DOUBLE","CONGRUENT",529,0.9
1,1,1,1,77,"Male",6,58,"SPATIAL","INCONGRUENT",526,0.9
1,1,1,1,77,"Male",6,86,"DOUBLE","CONGRUENT",547,0.9
1,1,1,1,77,"Male",6,81,"DOUBLE","INCONGRUENT",551,0.9
1,1,1,1,77,"Male",6,21,"CENTRAL","INCONGRUENT",670,0.9
1,1,1,1,77,"Male",6,20,"SPATIAL","CONGRUENT",657,0.9
1,1,1,1,77,"Male",6,38,"DOUBLE","INCONGRUENT",576,0.9
1,1,1,1,77,"Male",6,40,"NOCUE","CONGRUENT",497,0.9
1,1,1,1,77,"Male",6,89,"DOUBLE","INCONGRUENT",549,0.9
1,1,1,1,77,"Male",6,45,"CENTRAL","CONGRUENT",551,0.9
1,1,1,1,77,"Male",6,39,"NOCUE","INCONGRUENT",466,0.9
1,1,1,1,77,"Male",6,33,"SPATIAL","INCONGRUENT",600,0.9
1,1,1,1,77,"Male",6,95,"NOCUE","INCONGRUENT",529,0.9
1,1,1,1,77,"Male",6,7,"DOUBLE","CONGRUENT",521,0.9
1,1,1,1,77,"Male",6,28,"CENTRAL","CONGRUENT",472,0.9
1,1,1,1,77,"Male",6,42,"DOUBLE","CONGRUENT",486,0.9
1,1,1,1,77,"Male",6,11,"CENTRAL","CONGRUENT",784,0.9
1,1,1,1,77,"Male",6,19,"NOCUE","CONGRUENT",505,0.9
1,1,1,1,77,"Male",6,67,"NOCUE","CONGRUENT",559,0.9
1,1,1,1,77,"Male",6,43,"DOUBLE","CONGRUENT",550,0.9
1,1,1,1,77,"Male",6,25,"NOCUE","INCONGRUENT",574,0.9
1,1,1,1,77,"Male",6,84,"CENTRAL","CONGRUENT",505,0.9
1,1,1,1,77,"Male",6,47,"NOCUE","CONGRUENT",569,0.9
1,1,1,1,77,"Male",6,16,"DOUBLE","INCONGRUENT",504,0.9
1,1,1,1,77,"Male",6,3,"CENTRAL","CONGRUENT",892,0.9
1,1,1,1,77,"Male",6,78,"CENTRAL","CONGRUENT",459,0.9
1,1,1,1,77,"Male",6,56,"SPATIAL","CONGRUENT",579,0.9
1,1,1,1,77,"Male",6,5,"SPATIAL","CONGRUENT",551,0.9
1,1,1,1,77,"Male",6,31,"DOUBLE","INCONGRUENT",704,0.9
1,1,1,1,77,"Male",6,87,"SPATIAL","CONGRUENT",484,0.9
1,1,1,1,77,"Male",6,37,"DOUBLE","INCONGRUENT",714,0.9
1,1,1,1,77,"Male",6,46,"NOCUE","CONGRUENT",677,0.9
1,1,1,1,77,"Male",6,59,"DOUBLE","INCONGRUENT",458,0.9
1,1,1,1,77,"Male",6,80,"NOCUE","INCONGRUENT",419,0.9
1,1,1,1,77,"Male",6,69,"CENTRAL","CONGRUENT",624,0.9
1,1,1,1,77,"Male",6,8,"SPATIAL","INCONGRUENT",831,0.9
1,1,1,1,77,"Male",6,30,"CENTRAL","INCONGRUENT",525,0.9
1,1,1,1,77,"Male",6,72,"DOUBLE","INCONGRUENT",622,0.9
1,1,1,1,77,"Male",6,29,"SPATIAL","INCONGRUENT",712,0.9
1,1,1,1,77,"Male",6,85,"CENTRAL","INCONGRUENT",686,0.9
1,1,1,1,77,"Male",6,63,"NOCUE","CONGRUENT",489,0.9
1,1,1,1,77,"Male",6,24,"NOCUE","CONGRUENT",614,0.9
1,1,1,1,77,"Male",6,76,"DOUBLE","INCONGRUENT",674,0.9
1,1,1,1,77,"Male",6,54,"NOCUE","INCONGRUENT",551,0.9
1,1,1,1,77,"Male",6,14,"DOUBLE","CONGRUENT",601,0.9
1,1,1,1,77,"Male",6,15,"SPATIAL","INCONGRUENT",708,0.9
1,1,1,1,77,"Male",6,68,"CENTRAL","CONGRUENT",449,0.9
1,1,1,1,77,"Male",6,92,"NOCUE","CONGRUENT",609,0.9
1,1,1,1,77,"Male",6,93,"NOCUE","INCONGRUENT",538,0.9
1,1,1,1,77,"Male",6,66,"CENTRAL","INCONGRUENT",475,0.9
1,1,1,1,77,"Male",6,71,"NOCUE","INCONGRUENT",666,0.9
1,1,1,1,77,"Male",6,90,"SPATIAL","CONGRUENT",506,0.9
1,1,1,1,77,"Male",6,44,"DOUBLE","CONGRUENT",538,0.9
1,1,1,1,77,"Male",6,2,"NOCUE","INCONGRUENT",532,0.9
1,1,1,1,77,"Male",6,1,"CENTRAL","INCONGRUENT",815,0.9
1,1,1,1,77,"Male",6,51,"SPATIAL","CONGRUENT",530,0.9
1,1,1,1,77,"Male",6,53,"SPATIAL","INCONGRUENT",582,0.9
1,1,1,1,77,"Male",6,22,"SPATIAL","INCONGRUENT",537,0.9
1,1,1,1,77,"Male",6,65,"DOUBLE","INCONGRUENT",567,0.9
2,1,1,1,72,"Female",16,63,"CENTRAL","INCONGRUENT",1222,0.9
2,1,1,1,72,"Female",16,55,"NOCUE","INCONGRUENT",782,0.9
2,1,1,1,72,"Female",16,7,"SPATIAL","INCONGRUENT",853,0.9
2,1,1,1,72,"Female",16,91,"CENTRAL","INCONGRUENT",1468,0.9
2,1,1,1,72,"Female",16,68,"CENTRAL","INCONGRUENT",1039,0.9
2,1,1,1,72,"Female",16,28,"CENTRAL","INCONGRUENT",852,0.9
2,1,1,1,72,"Female",16,92,"NOCUE","CONGRUENT",892,0.9
2,1,1,1,72,"Female",16,33,"NOCUE","INCONGRUENT",829,0.9
2,1,1,1,72,"Female",16,89,"NOCUE","INCONGRUENT",681,0.9
2,1,1,1,72,"Female",16,5,"DOUBLE","CONGRUENT",712,0.9
2,1,1,1,72,"Female",16,64,"SPATIAL","INCONGRUENT",765,0.9
2,1,1,1,72,"Female",16,62,"DOUBLE","CONGRUENT",765,0.9
2,1,1,1,72,"Female",16,45,"DOUBLE","CONGRUENT",845,0.9
2,1,1,1,72,"Female",16,6,"CENTRAL","CONGRUENT",677,0.9
2,1,1,1,72,"Female",16,27,"CENTRAL","CONGRUENT",721,0.9
2,1,1,1,72,"Female",16,53,"DOUBLE","CONGRUENT",728,0.9
2,1,1,1,72,"Female",16,32,"NOCUE","CONGRUENT",919,0.9
2,1,1,1,72,"Female",16,88,"CENTRAL","INCONGRUENT",910,0.9
2,1,1,1,72,"Female",16,93,"NOCUE","INCONGRUENT",1137,0.9
2,1,1,1,72,"Female",16,72,"DOUBLE","INCONGRUENT",970,0.9
2,1,1,1,72,"Female",16,96,"DOUBLE","INCONGRUENT",1136,0.9
2,1,1,1,72,"Female",16,84,"CENTRAL","CONGRUENT",457,0.9
2,1,1,1,72,"Female",16,23,"SPATIAL","CONGRUENT",1061,0.9
2,1,1,1,72,"Female",16,69,"CENTRAL","CONGRUENT",939,0.9
2,1,1,1,72,"Female",16,61,"CENTRAL","CONGRUENT",842,0.9
2,1,1,1,72,"Female",16,30,"SPATIAL","CONGRUENT",772,0.9
2,1,1,1,72,"Female",16,73,"CENTRAL","INCONGRUENT",687,0.9
2,1,1,1,72,"Female",16,38,"DOUBLE","CONGRUENT",726,0.9
2,1,1,1,72,"Female",16,25,"DOUBLE","CONGRUENT",1034,0.9
2,1,1,1,72,"Female",16,56,"SPATIAL","INCONGRUENT",1107,0.9
2,1,1,1,72,"Female",16,57,"SPATIAL","INCONGRUENT",814,0.9
2,1,1,1,72,"Female",16,24,"CENTRAL","CONGRUENT",713,0.9
2,1,1,1,72,"Female",16,90,"DOUBLE","CONGRUENT",623,0.9
2,1,1,1,72,"Female",16,39,"SPATIAL","CONGRUENT",1691,0.9
2,1,1,1,72,"Female",16,40,"CENTRAL","INCONGRUENT",966,0.9
2,1,1,1,72,"Female",16,48,"NOCUE","INCONGRUENT",1051,0.9
2,1,1,1,72,"Female",16,42,"NOCUE","INCONGRUENT",853,0.9
2,1,1,1,72,"Female",16,95,"SPATIAL","CONGRUENT",661,0.9
2,1,1,1,72,"Female",16,50,"NOCUE","CONGRUENT",911,0.9
2,1,1,1,72,"Female",16,85,"NOCUE","CONGRUENT",818,0.9
2,1,1,1,72,"Female",16,20,"DOUBLE","CONGRUENT",762,0.9
2,1,1,1,72,"Female",16,36,"NOCUE","CONGRUENT",818,0.9
2,1,1,1,72,"Female",16,4,"SPATIAL","CONGRUENT",688,0.9
2,1,1,1,72,"Female",16,75,"DOUBLE","INCONGRUENT",879,0.9
